Dataset,TargetBPP,Phase,Avg_BPP,Avg_PSNR,Avg_SSIM,Avg_LPIPS
Kodak,0.1bpp,Phase1,0.1420502174231741,25.05819268742228,0.9055493821700414,0.4292943812906742
Kodak,0.1bpp,Phase2,0.1420502174231741,27.41389583497535,0.9345367948214213,0.2211787234991789
Kodak,0.3bpp,Phase1,0.3307007095879979,26.98616879422949,0.952453816930453,0.35191088169813156
Kodak,0.3bpp,Phase2,0.3307007095879979,29.245261506907713,0.9709421719113985,0.13971028539041677
Kodak,0.5bpp,Phase1,0.4219163010517757,26.96105970001467,0.9566024591525396,0.33249541247884434
Kodak,0.5bpp,Phase2,0.4219163010517757,29.780010380694936,0.9749133313695589,0.12885920517146587
CLIC2022,0.1bpp,Phase1,0.12121743993245412,26.406675832679582,0.9366328646739324,0.3506752297282219
CLIC2022,0.1bpp,Phase2,0.12121743993245412,29.94032800699699,0.9596527645985286,0.1987530076255401
CLIC2022,0.3bpp,Phase1,0.2965358259122344,29.239937968794653,0.9660082528988521,0.2964325979351997
CLIC2022,0.3bpp,Phase2,0.2965358259122344,31.908619482613293,0.9821492244799932,0.13075676877051592
CLIC2022,0.5bpp,Phase1,0.3762108899267235,28.926220719239428,0.9701897164185842,0.2611831629027923
CLIC2022,0.5bpp,Phase2,0.3762108899267235,32.379251473916185,0.984501572450002,0.12095041334008177
CrowdHuman,0.1bpp,Phase1,0.15679849750436098,24.77298354160284,0.9338018894195557,0.33906700005454404
CrowdHuman,0.1bpp,Phase2,0.15679849750436098,27.853007146173773,0.9626958216390302,0.15917243255722907
CrowdHuman,0.3bpp,Phase1,0.3529351880552359,27.29105693150674,0.9681327939033508,0.260425494563195
CrowdHuman,0.3bpp,Phase2,0.3529351880552359,29.804454435149996,0.984163272765375,0.09636696872691955
CrowdHuman,0.5bpp,Phase1,0.4420323549462761,27.062224964170788,0.9704210931254972,0.2481320163896007
CrowdHuman,0.5bpp,Phase2,0.4420323549462761,30.25357530808119,0.9864608780030282,0.08741279679440683
